Operation Name,Operation Type,Address,City,Total Floor Area,Avg hrs per wk,Annual Flow,Electricity,Natural Gas,GHG Emissions,Energy Intensity
161 Spadina Rd,Other,161 Spadina Rd,Toronto,0,100,0,3048.407148,7215.709679,"13,772",
Woodbine Park,Other,1695 Queen St E,Toronto,0,100,0,228197.3011,0,"10,041",
1699 Lake Shore Blvd W,Other,1699 Lake Shore Blvd W,Toronto,0,168,0,9754.74602,0,429,
Osler Walkway,Other,16A Osler St,Toronto,0,100,0,17537.56506,0,772,
16 Fuller Ave,Parking garages,16 Fuller Ave,Toronto,19547,168,0,8287.934942,0,365,0.4
16 Lipton Ave,Parking garages,16 Lipton Ave,Toronto,0,168,0,7336.298,0,323,
16 Rosehill Ave,Parking garages,16 Rosehill Ave,Toronto,0,168,0,1093677.36,0,"48,122",
170 Sumach Park,Other,170 Sumach St,Toronto,0,100,0,2909.518626,0,128,
1739 Bayview,Other,1739 Bayview Ave,East York,0,168,0,908.869776,0,40,
17MILL,Other,17 MILL,Toronto,0,100,0,2536.701159,0,112,
180 Roxborough,Other,180 Roxborough,Toronto,0,100,0,1950.251355,0,86,
1845 Kingston Rd,Other,1845 Kingston Rd,Toronto,2400,100,0,408.568188,0,18,0.2
High Park - Lot Cytor,Other,1873 Bloor St W- Lot Cytor,Toronto,0,168,0,36322.28615,0,"1,598",
18 Applebaum,Other,18 Applebaum Terrace,Toronto,0,100,0,3266.525439,0,144,
18 Ferrier Ave,Parking garages,18 Ferrier Ave,Toronto,6900,168,0,2312.0238,0,102,0.3
Nightstar Park,Other,18 NIGHTSTAR RD,Toronto,0,100,0,0,0,49,
18 Ossington Ave,Parking garages,18 Ossington Ave,Toronto,6469,168,0,4490.704194,0,198,0.7
Bluehaven Park,Other,19 BLUEHAVEN CRES,North York,0,100,0,22027.31559,0,969,
Maryland Park Tennis Clubhouse,Other,19 Maryland Blvd,Toronto,0,100,0,12887.26155,0,567,
Rean Park,Other,1A Rean Dr,Toronto,0,100,0,3846.949424,0,169,
Jeff Healey Park,Other,1 Delroy Dr,Toronto,0,100,0,3775.348071,0,166,
Ellis Ave Sewage Pumping Station,Facilities related to the pumping of sewage,1 Ellis Ave,Toronto,0,168,209.908288,23485.46658,0,"1,033",
1 Garrison Road,Parking garages,1 Garrison Road,Toronto,0,168,0,8651.50879,0,381,
1 Norton Ave,Parking garages,1 Norton Ave,Toronto,16996,168,0,12155.03382,0,535,0.7
Erwin Krickhan Park,Other,121 Rankin Cresecent,Toronto,0,100,0,4920.42569,0,216,
1 Simcoe St,Street lighting,1 Simcoe St,Toronto,0,100,0,774306.7322,0,"34,069",
2000 Lake Shore,Street lighting,2000 Lake Shore Blvd W,Toronto,0,100,0,6620.863274,0,291,
200 Mount Olive Dr,Other,200 Mount Olive Dr,Toronto,0,100,0,11627.23953,0,512,
201 CLAREMONT ST,Parking garages,201 CLAREMONT ST,Toronto,0,100,0,8775.702826,0,386,
#11 Police Division - NEW,Police stations and associated offices and facilities,2054 Davenport Rd,Toronto,62000,168,0,1151401.84,35158.15588,"117,111",24.6
Long Branch Park,Other,205 Lake Promenade,Toronto,0,100,0,285.077766,0,13,
20 Augusta Ave,Parking garages,20 Augusta Ave,Toronto,0,168,0,22933.01807,0,"1,009",
20 Castle Knock Rd,Parking garages,20 Castle Knock Rd,Toronto,0,168,0,12279.88715,0,540,
20 Charles St E,Parking garages,20 Charles St E,Toronto,0,168,0,945564.02,20102.03189,"79,598",
20 Saint Andrews St,Parking garages,20 Saint Andrews St,Toronto,0,168,0,1271583.39,0,"55,950",
210 Leslie St,Other,210 Leslie St,Toronto,0,168,0,921.375062,0,41,
Jean Augustine Park,Other,2113 Lake Shore Blvd W,Toronto,0,100,0,5215.601324,0,229,
Cedarvale Park,Other,211 Ava Rd,Toronto,0,100,0,858.066036,0,38,
21 Bedford Park Ave,Parking garages,21 Bedford Park Ave,Toronto,0,168,0,5193.969858,0,229,
Midland Sewage Pumping Station,Facilities related to the pumping of sewage,21 Midland Ave,Toronto,0,168,515.1015804,93491.96371,0,"4,114",
Rexdale Community Hub,"Administrative offices and related facilities, including municipal council chambers",21 Panorama Crt,Toronto,96369,70,0,1155770.94,95948.89037,"232,197",22.5
#21 Police Division,Police stations and associated offices and facilities,791 Islington Ave,Toronto,7492,168,0,170788.2645,18792.92824,"43,033",49.3
Humber Bay Park West Trail,Other,2283 Lake Shore Blvd W,Toronto,0,100,0,46123.05964,0,"2,029",
22 Glendonwynne Rd,Parking garages,22 Glendonwynne Rd,Toronto,0,168,0,10072.27678,0,443,
#22 Police Division,Police stations and associated offices and facilities,3699 Bloor St.W.,Toronto,32270,168,0,486072.7106,80036.92118,"172,657",41.2
230 Medland St,Parking garages,230 Medland St,Toronto,0,168,0,7772.3276,0,342,
Edenbridge Centre,Cultural facilities,235A Edenbridge Dr,Toronto,5013,100,0,10995.27271,0,484,2.2
235 DANFORTH,Other,235 DANFORTH,Toronto,0,100,0,64053.04229,0,"2,818",
23 Chester Ave,Parking garages,23 Chester Ave,Toronto,0,168,0,3833.159087,0,169,
#23 Police Division New,Police stations and associated offices and facilities,5230 Finch Ave W.,Toronto,57264,168,0,890050.76,62501.78355,"157,291",27.1
23 Peele Ave,Street lighting,23 Peel Ave,Toronto,0,100,0,548069.8855,0,"24,115",
2454 Bloor St W,Parking garages,2454 Bloor St W,Toronto,0,168,0,454.572514,0,20,
Main Square Comm Ctr,Community centres,245 Main St,Toronto,35123,100,0,550685.359,102312.0476,"217,600",46.4
Island Rd Sewage Pumping Station,Facilities related to the pumping of sewage,246 Island Rd,Toronto,0,168,35.5043553,19106.09955,0,841,
Connorvale Park,Other,250 Valermo Dr,Toronto,0,100,0,0,0,"1,572",
253 Macpherson Ave,Parking garages,253 Macpherson Ave,Toronto,0,168,0,3684.562059,0,162,
Albion Gardens,Other,25 Deanlea Crt,Toronto,0,100,0,4403.221412,0,194,
Mimico Memorial Park,Other,25 George St,Toronto,0,100,0,7939.492226,0,349,
25 Glenforest Rd,Parking garages,25 Glenforest Rd,Toronto,0,168,0,5448.949094,0,240,
Edenbridge Sewage Blower,Other,261 Edenbridge Dr,Toronto,0,168,0,11632.60827,0,512,
265 Armadale Ave,Parking garages,265 Armadale Ave,Toronto,0,168,0,17409.21798,0,766,
265 Durie St,Parking garages,265 Durie St,Toronto,0,168,0,8213.983859,0,361,
266 Besborough,Other,266 Besborough Dr,Toronto,0,100,0,51.9168,0,2,
268 Rhodes Ave,Parking garages,268 Rhodes Ave,Toronto,0,168,0,4057.644364,0,179,
2696 Eglinton Ave W,Parking garages,2696 Eglinton Ave W,Toronto,14790,168,0,22105.33672,0,973,1.5
26 Alvin Ave,Parking garages,26 Alvin Ave,Toronto,0,168,0,30387.82211,0,"1,337",
279 Wilson Heights Blvd,Other,279 Wilson Heights Blvd,Toronto,0,168,0,573.30561,0,25,
Lora Hill Park,Other,27 Fernalroy Blvd,Toronto,0,100,0,2531.255311,0,111,
Botanyhill Park,Other,281 Orton Park Rd,Toronto,0,100,0,0,0,283,
North Humber Park Lighting,Other,2901 Kipling Ave,Toronto,0,100,0,110.334282,0,5,
Greenfield - Longmore Lands,Other,291 Greenfield  Ave,Toronto,0,168,0,4004.367927,0,176,
291 Mill Rd,Other,291 Mill Rd,Toronto,0,100,0,298.9528,0,13,
295 Unwin Ave,Other,295 Unwin Ave,Toronto,0,100,0,21226.36516,0,934,
Cliffcrest Employment Services,"Administrative offices and related facilities, including municipal council chambers",2989 Kingston Rd,Toronto,8530,70,0,104671.7873,0,"4,606",12.3
29 Erindale Ave,Parking garages,29 Erindale Ave,Toronto,0,168,0,11529.8605,0,507,
29 Old Mill Terr,Other,29 Old Mill Terr,Toronto,0,168,0,53864.13174,0,"2,370",
Charlotte Maher Park,Other,2A Mcbain Ave,Toronto,0,100,0,128.302259,0,6,
2 Church St,Parking garages,2 Church St,Toronto,125023,168,0,2329175.47,0,"102,484",18.6
Avondale Park,Other,2 Everson,Toronto,0,100,0,3434.042367,0,151,
Sir Adam Beck Park,Other,2 Orianna Dr,Toronto,0,100,0,944.619972,0,42,
3001 McCowan Rd,Other,3001 McCowan Rd,Toronto,0,100,0,210.472456,0,9,
3045 Brimley Rd,Other,3045 Brimley Rd,Toronto,0,100,0,225.949749,0,10,
3079 Kennedy Rd,Other,3079 Kennedy Rd,Toronto,0,100,0,128.155146,0,6,
3084 Weston Rd,Other,3084 Weston Rd,Toronto,0,100,0,42889.02431,0,"1,887",
Rivercrest Rink,Other,30 Harefield Dr,Toronto,495,100,0,136203.1999,0,"5,993",275.2
Carmine Stefano Community Ctr,Community centres,3100 Weston Rd,Toronto,57867,100,0,230114.6938,109871.7889,"217,783",24
31 Langford Ave,Parking garages,31 Langford Ave,Toronto,0,168,0,1779.676352,0,78,
Martin Grove Gardens Park,Other,31 Lavington Dr,Toronto,0,100,0,1955.120244,0,86,
#31 Police Division,Police stations and associated offices and facilities,40 Norfinch Dr,Toronto,35489,168,0,635430.4853,49952.7355,"122,370",32.8
31 Yorkville Ave,Parking garages,31 Yorkville Ave,Toronto,0,168,0,2087983.54,0,"91,871",
Kingston Rd Sewage Pumping Station,Facilities related to the pumping of sewage,3241 Kingston Rd,Toronto,0,168,82.53872229,137838.2643,0,"6,065",
Hillsdale Ave Parkette,Other,32 Hillsdale Ave E,Toronto,0,100,0,741.768012,0,33,
#32 Police Division,Police stations and associated offices and facilities,30 Ellerslie Ave,Toronto,47652,168,0,0,69638.42265,"163,051",30.4
330 University Ave Fountain,Other,330 University Ave,Toronto,0,100,0,81968.71098,0,"3,607",
Trumpeter Park,Other,33A Panda Sq,Toronto,0,100,0,1153.386071,0,51,
33A Riverwood Pky,Other,33A Riverwood Pky,Toronto,0,168,0,5929.187913,0,261,
#33 Police Division,Police stations and associated offices and facilities,50 Upjohn Rd,Toronto,27889,168,0,418202.4195,43101.1515,"99,862",31.3
33 Queen St E,Parking garages,33 Queen St E,Toronto,173030,168,0,533015.2124,0,"23,453",3.1
342 Prince Edward Dr,Parking garages,342 Prince Edward Dr N,Toronto,0,168,0,10251.45645,0,451,
Bloor Islington Storm Pumping Station,Other,3429 Bloor St W,Etobicoke,355,168,21.21479794,25030.64647,0,"1,101",70.5
349 Keele St,Parking garages,349 Keele St,Toronto,0,168,0,4767.494459,0,210,
34 Park  Home Ave - Lighting,Other,34 Park  Home Ave - Lighting,North York,0,100,0,2255.680454,0,99,
Oakdale Community Center,Community centres,350 Grandravine Dr,Toronto,10000,100,0,194455.8957,22588.22971,"51,248",43.3
West Deane Park,Other,350 Martin Grove Rd,Toronto,0,100,0,23038.72052,0,"1,014",
351 Lippincott St,Parking garages,351 Lippincott St,Toronto,0,168,0,18188.79072,0,800,
35 Bellevue Ave,Parking garages,35 Bellevue Ave,Toronto,0,168,0,24671.48088,0,"1,086",
3601 Eglinton Ave W,Other,3601 Eglinton Ave W,Toronto,0,100,0,31606.61297,0,"1,391",
Campbell House,Cultural facilities,3620 Kingston Rd,Toronto,3595,100,0,21351.50367,0,939,5.9
Bathurst-Wilson Parkette,Other,3749 Bathurst St,Toronto,0,100,0,346.507635,0,15,
376 Clinton St,Parking garages,376 Clinton St,Toronto,0,168,0,1868.982703,0,82,
37 Queen St E,Parking garages,37 Queen St E,Toronto,0,168,0,1446623.313,0,"63,651",
Stan Wadlow Park,Other,383 Cedarvale Ave,Toronto,9982,100,0,1219.021576,0,54,0.1
3885 Yonge St Lot,Parking garages,3885 Yonge St,Toronto,0,168,0,40793.97101,0,"1,795",
Power House C.C.,Community centres,65 Colonel Samuel Smith,Toronto,5737,100,0,336549.5422,0,"14,808",58.7
St Clair Gardens - ele,Other,3 Prescott Ave,Toronto,0,100,0,2940.697683,0,129,
Silver Birch Ave Sewage Pumping Station,Facilities related to the pumping of sewage,3 Silver Birch Av,Toronto,0,168,1.201150588,316.311503,0,14,
400 Keele St,Parking garages,400 Keele St,Toronto,0,168,0,5001.677318,0,220,
402 Sewells Rd,Street lighting,402 Sewells Rd,Toronto,0,100,0,134.017754,0,6,
407 Fairlawn,Other,407 Fairlawn Ave,Toronto,0,100,0,248.155514,0,11,
Roselawn Comm Tower,Other,408 Roselawn,Toronto,0,168,0,48131.93922,0,"2,118",
Corvette Park,Other,40 Corvette Ave,Toronto,0,100,0,28.562354,0,1,
40 Dundas St E,Other,40 Dundas St E,Toronto,0,100,0,3404.999668,0,150,
Gateway Park,Other,40 East Liberty,Toronto,0,168,0,4890.517918,0,215,
Seasons Park,Other,40 Seasons Dr,Toronto,0,100,0,5431.374751,0,239,
Topham Park,Other,40 Topham Rd Unit Flood,Toronto,0,100,0,13281.296,0,584,
#41 Police Division,Police stations and associated offices and facilities,2222 Eglinton Ave.E.,Toronto,51080,168,0,692197.4897,110675.2894,"239,633",36.4
#42 Police Division,Police stations and associated offices and facilities,242 Milner Ave.,Toronto,36620,168,0,626473.2629,47105,"116,593",30.7
#43 Police Division,Police stations and associated offices and facilities,4331 Lawrence Ave E,Toronto,55450,168,0,861210.2597,77265.39199,"183,925",30.2
44 Richmond St E,Parking garages,44 Richmond St E,Toronto,0,168,0,57279.91979,0,"2,520",
Old Orchard Park,Other,450 Deloraine Ave,Toronto,0,100,0,2085.148751,0,92,
453 Spadina Rd,Parking garages,453 Spadina Rd,Toronto,0,168,0,3599.731541,0,158,
45 Aberdeen Ave,Parking garages,45 Aberdeen Ave,Toronto,0,168,0,3254.964529,0,143,
45 Dunfield Ave,Other,45 Dunfield Ave,Toronto,0,100,0,589.118565,0,26,
470 Windermere Ave,Parking garages,470 Windermere Ave,Toronto,0,168,0,6991.137989,0,308,
480 Mill Rd,Other,480 Mill Rd,Toronto,0,168,0,66550.92145,0,"2,928",
Starry Park,Other,505 Staines Rd,Toronto,0,100,0,578.577609,0,25,
5063 Yonge St Unit Underg,Other,5063 Yonge St Unit Underg,North York,0,100,0,17.869928,0,1,
Pricefield Rd Playground,Other,50 Pricefield Rd,Toronto,0,100,0,10217.0243,0,450,
NW District Office & Garage,Ambulance stations and associated offices and facilities,50 Toryork Dr,Toronto,13153,168,0,176370.1024,15319.45676,"36,714",25.7
50 Wabash,Other,50 Wabash,Toronto,2992,100,0,20916.16106,4501.157521,"9,427",22.9
5184 Yonge St Unit Undrg,Other,5184 Yonge St,Toronto,0,100,0,64.8529,0,3,
519 Church St Comm Ctr,Community centres,519 Church St,Toronto,15554,100,0,530387.4285,0,"23,337",34.1
519 Church Park,Other,519 Church St,Toronto,0,168,0,23013.21529,0,"1,013",
51 Benshire Dr,Other,51 Benshire Dr,Toronto,0,100,0,205.6735,0,9,
51 Dockside Dr,Other,51 Dockside Dr,Toronto,0,100,0,101032.02,0,"4,445",
#51 Police Division New,Police stations and associated offices and facilities,51 Parliament St,Toronto,56000,168,0,1383242.484,147260.7266,"339,185",52.5
Cosburn Park,Other,523 Cosburn Ave,Toronto,0,100,0,23312.70542,0,"1,026",
Sir Adam Beck,Community centres,525 Horner Ave,Toronto,7341,100,0,37850.06732,9857.117647,"20,295",19.3
#52 Police Division,Police stations and associated offices and facilities,255 Dundas St.W.,Toronto,71677,168,0,1085842.61,86103.59833,"210,513",27.8
5341 Dundas St W,Other,5341 Dundas St W,Toronto,1862,100,0,6400.828262,0,282,3.4
#53 Police Division,Police stations and associated offices and facilities,75 Eglinton Ave.W.,Toronto,52183,168,0,738787.19,52670.0745,"132,053",24.8
53 Strachan Ave,Social housing,53 Strachan Ave,Toronto,49213,100,0,346740.592,0,"15,257",7
#54 Police Division,Police stations and associated offices and facilities,41 Cranfield Rd,Toronto,23358,168,0,485139.8729,57612.18668,"130,233",46.8
5575 Yonge St,Other,5575 Yonge St,Toronto,0,100,0,3551.44125,0,156,
557 Palmerston Ave,Parking garages,557 Palmerston Ave,Toronto,0,168,0,5192.642341,0,228,
Wellesworth Park,Other,55 Dixfield Dr,Toronto,0,100,0,1727.6248,0,76,
55 John St Ltg Beacon,Other,55 John St,Toronto,0,168,0,510333.7006,0,"22,455",
55 John St LED Ltg,Other,55 John St,Toronto,0,168,0,3615326.54,0,"159,074",
#55 Police Division,Police stations and associated offices and facilities,101 Coxwell Ave,Toronto,23519,168,0,544982.4775,15037.27473,"52,400",29.9
Wexford Park,Other,55 Singleton Rd,Toronto,0,100,0,869.5448,0,38,
55 York St,Parking garages,55 York St,Toronto,0,168,0,3635.75579,0,160,
Ukranian Canadian Memorial Park,Other,565 SCARLETT,Toronto,0,100,0,23497.69005,0,"1,034",
567 ARLINGTON,Other,567 ARLINGTON,Toronto,0,100,0,22.996095,0,1,
Centennial Park,Other,56 Centennial Park Blvd,Toronto,0,168,0,114528.8867,0,"5,039",
573 Gerrard St E,Parking garages,573 Gerrard St E,Toronto,0,168,0,8502.075341,0,374,
Sewells Rd Sewage Pumping Station,Facilities related to the pumping of sewage,579 Sewells Rd,Toronto,0,168,436.3203067,64055.18316,0,"2,818",
Lessard Park,Other,58 Humberview Rd,Toronto,0,100,0,1526.71791,0,67,
Serena Gundy Park,Other,58 Rykert Cres,Toronto,0,100,0,21841.69481,0,961,
Toronto Water Centre,"Administrative offices and related facilities, including municipal council chambers",60 Tiffield Rd,Toronto,64831,70,0,3271093.63,284006,"680,699",96.7
Hinder Property,Other,61 Don River Blvd,Toronto,1012,100,0,43489.44847,0,"1,914",43
Strathburn Park,Other,62 Gaydon Ave,Toronto,0,100,0,4808.698955,0,212,
Bill Johnston Park,Other,65 Western Battery Rd,Toronto,0,100,0,1.0376,0,0,
670 Pape Ave,Parking garages,670 Pape Ave,Toronto,0,168,0,9308.936259,0,410,
675 Manning Ave,Parking garages,675 Manning Ave,Toronto,0,168,0,3046.408482,0,134,
68 Amroth Ave,Parking garages,68 Amroth Ave,Toronto,0,168,0,6275.680294,0,276,
697 Lansdowne Ave,Parking garages,697 Lansdowne Ave,Toronto,0,168,0,4629.155898,0,204,
708 Millwood Rd,Parking garages,708 Millwood Rd,Toronto,0,168,0,1840.532023,0,81,
709 Millwood Rd,Parking garages,709 Millwood Rd,Toronto,0,168,0,43090.51573,0,"1,896",
70 Dunfield Ave,Parking garages,70 Dunfield Ave,Toronto,0,168,0,1011146.7,0,"44,490",
Liberty Village Park,Other,70 EAST LIBERTY,Toronto,0,100,0,14736.35841,0,648,
Rosethorn Park,Other,70 Great Oak Dr,Toronto,0,100,0,5408.031337,0,238,
Nashdene Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",70 NASHDENE,Scarborough,301,70,0,29693.31162,0,"81,753",26.2
715 Bloor St E-Pole 133 Viewndr/,Street lighting,715 Bloor ST E,Toronto,0,70,0,908.9376,0,40,
71 Ellis Park Rd,Other,71 Ellis Park Rd,Toronto,0,168,0,3635.716112,0,160,
720 Pape Ave,Parking garages,720 Pape Ave,Toronto,0,168,0,11403.02442,0,502,
Etobicoke Valley Park,Other,72A Westhead Rd,Toronto,0,100,0,9021.005334,0,397,
72 Clinton St,Parking garages,72 Clinton St,Toronto,0,168,0,274518.1796,0,"12,079",
734 Middlefield Rd,Other,734 Middlefield Rd,Toronto,0,100,0,287.351852,0,13,
737 Rhodes Ave,Parking garages,737 Rhodes Ave,Toronto,0,168,0,6108.008301,0,269,
751 Brimorton Dr,Other,751 Brimorton Dr,Toronto,0,100,0,201.881685,0,9,
Briar Crest Park,Other,75 Wellesworth Dr,Toronto,0,100,0,4577.170023,0,201,
Western Beaches Tunnel Storm Pumping Station,Facilities related to the pumping of sewage,775 Lake Shore Blvd W,Toronto,0,168,3828,991316.58,0,"43,618",
77 Whitbread,Other,77 Whitbread Cres,Toronto,0,100,0,2114.961448,0,93,
Cathedral Square Park,Other,78 Mutual St,Toronto,0,100,0,6990.877442,0,308,
7 Bartlett Ave,Parking garages,7 Bartlett Ave,Toronto,0,168,0,3296.068689,0,145,
Fallingbrook Sewage Pumping Station,Facilities related to the pumping of sewage,7 Fallingbrook Dr,Toronto,0,168,37.23244693,20469.5132,0,901,
Greystone Park,Other,7 Greystone Walk Dr,Toronto,0,100,0,4366.030094,0,192,
Port Union Village Comm Park,Other,105 Bridgend St,Toronto,15300,100,0,25505.39973,0,"1,122",1.7
8001 Finch,Other,8001 Finch,Toronto,0,168,0,3230.781925,0,142,
803 Richmond St W,Parking garages,803 Richmond St W,Toronto,0,168,0,4313.984588,0,190,
804 Carlaw Ave,Parking garages,804 Carlaw Ave,Toronto,0,168,0,2960.852856,0,130,
81 Lee Ave,Parking garages,81 Lee Ave,Toronto,0,168,0,9458.913559,0,416,
Winter Maintenance Depot,"Storage facilities where equipment or vehicles are maintained, repaired or stored",8270 Sheppard Ave E,Toronto,12152,70,0,369734.44,30930,"74,726",57.3
833 Royal York,Street lighting,833 Royal York,Toronto,0,70,0,2029.265084,0,89,
