Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2018,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36
Atlantic Ave Storage Bldg,"Administrative offices and related facilities, including municipal council chambers",98 Atlantic Ave,Toronto,M6K 1X9,43002,Square feet,70,0,105617.72628799999,kWh,26977.436363000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55473.475135947476,9.0789303604854865,NA,AASB,Administrative Offices
Central Services Office,"Administrative offices and related facilities, including municipal council chambers",329 Chaplin Cres.,Toronto,M5N 2M9,18299,Square feet,70,0,181378.16795000003,kWh,21082.354917000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47305.06553027573,22.074432018589288,NA,CSO,Administrative Offices
City Clerk's Office,"Administrative offices and related facilities, including municipal council chambers",88 Sunrise Ave,North York,M4A 1B3,34843,Square feet,70,0,710224.49364500004,kWh,48343.396979999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120246.44755473619,35.030752565267875,NA,88SUN,Administrative Offices
City Hall,"Administrative offices and related facilities, including municipal council chambers",100 Queen St W,Toronto,M5H 2N1,780061,Square feet,70,0,13448190.390590999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2513373.1585899587,39.767916599576971,NA,CH,Administrative Offices
Cliffcrest Employment Services,"Administrative offices and related facilities, including municipal council chambers",2989 Kingston Rd,Scarborough,M1M 1P1,8530,Square feet,70,0,112550.60941600001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4502.0243766400008,13.194733690137463,NA,2989KINGSTON2,Administrative Offices
Consolidated Communication Ctr,"Administrative offices and related facilities, including municipal council chambers",703 Don Mills Rd,North York,M3C 3N3,132999,Square feet,70,0,7361109.3688709997,kWh,256042.35333299998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780845.47295800666,75.670603824894656,NA,CCC,Administrative Offices
Crossways Employment Services,"Administrative offices and related facilities, including municipal council chambers",2340 Dundas St W,Toronto,M6P 4A9,18277,Square feet,70,0,852922.55257699999,kWh,44993.611613000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119590.81614817996,72.654829852348371,NA,RWO,Administrative Offices
Dyas Road,"Administrative offices and related facilities, including municipal council chambers",14 & 18 Dyas Rd,North York,M3B 1V5,102516,Square feet,70,0,1655333.6667550001,kWh,105208.74935500001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266077.35573239997,26.98118163866755,NA,DYAS,Administrative Offices
East Court & Municipal Services,"Administrative offices and related facilities, including municipal council chambers",1530 Markham Rd,Scarborough,M1B 3G4,120104,Square feet,70,0,1950837.440774,kWh,105860.71371,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279136.03685870988,25.547778971109466,NA,MR1530,Administrative Offices
East York Civic Centre,"Administrative offices and related facilities, including municipal council chambers",850 Coxwell Ave,Toronto,M4C 5R1,67544,Square feet,70,0,1789712.8801289999,kWh,104399.566785,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269915.32823095669,42.814169336886494,NA,EYCC,Administrative Offices
Eastern District Office,"Administrative offices and related facilities, including municipal council chambers",1 Eastville Ave.,Scarborough,M1M 2N5,19849,Square feet,70,0,96300.750907000009,kWh,32070.238961999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64775.54229000178,21.908337082035022,NA,EDO,Administrative Offices
Election Services Building,"Administrative offices and related facilities, including municipal council chambers",89 Northline Road,East York,M4B 3G1,55004,Square feet,70,0,257136.326745,kWh,71888.497562999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146851.31300525545,18.472222929792338,NA,89NORTH,Administrative Offices
Etobicoke Civic Centre,"Administrative offices and related facilities, including municipal council chambers",399 The West Mall,Etobicoke,M9C 2Y2,154925,Square feet,70,0,2723553.0578070004,kWh,187349.21296199999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464847.5486840618,30.346056689430238,NA,ETCC,Administrative Offices
Etobicoke North Office,"Administrative offices and related facilities, including municipal council chambers",220 Attwell Dr,Etobicoke,M9W 6T9,20279,Square feet,70,0,478213.00758199999,kWh,44398.227220000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103471.38857084181,46.694407807818102,NA,ENO,Administrative Offices
Etobicoke South Office,"Administrative offices and related facilities, including municipal council chambers",779 The Queensway,Etobicoke,M8Z 1N4,22497,Square feet,70,0,455275.52735699998,kWh,29544.387500000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74336.198584155005,34.100994691935419,NA,ESO,Administrative Offices
Fire Services - East Command Offices,"Administrative offices and related facilities, including municipal council chambers",3 Dohme Ave,East York,M4B 1Y8,25898,Square feet,70,0,137418.228668,kWh,22153.381817999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47581.287052556414,14.336492012515285,NA,DA3,Administrative Offices
Forestry W District Office,"Administrative offices and related facilities, including municipal council chambers",1 Bathurst St,Toronto,M5V 2N8,8999,Square feet,70,0,86176.777138000005,kWh,22131.600340999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45490.250937314289,35.538933608247042,NA,FWDO,Administrative Offices
Former Hydro Building,"Administrative offices and related facilities, including municipal council chambers",1652 Keele St,Toronto,M6M 3W3,22497,Square feet,70,0,433208.67296599998,kWh,5095.9704869999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27009.111093089028,21.647657651191221,NA,KS1652,Administrative Offices
Golden Mile Employment & Social Services,"Administrative offices and related facilities, including municipal council chambers",1880 Eglinton Ave E,Scarborough,M1L 2L1,45000,Square feet,70,0,499083.80422600004,kWh,57983.004939999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130113.08682350861,24.693285652886356,NA,1880EGLINTON,Administrative Offices
Health Office,"Administrative offices and related facilities, including municipal council chambers",662 Jane St,Toronto,M6N 4A7,2540,Square feet,70,0,12945.063125000001,kWh,1065.239296,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2541.4269632182404,9.5238503368909999,NA,HOJS,Administrative Offices
Metro Hall,"Administrative offices and related facilities, including municipal council chambers",55 John St,Toronto,M5V 3C6,787186,Square feet,70,0,8690881.4483550005,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750968.0071317544,28.91568822671918,NA,MH,Administrative Offices
North District Office,"Administrative offices and related facilities, including municipal council chambers",275 Merton St,Toronto,M4S 1A7,66747,Square feet,70,0,437159.11829199997,kWh,39868.871874999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93224.861943898752,12.855208064324332,NA,NDO,Administrative Offices
North York Central Office,"Administrative offices and related facilities, including municipal council chambers",1117 Finch Ave.W,North York,M3J 2P7,18934,Square feet,70,0,434366.58272800001,kWh,19831.304724000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55047.994580255559,33.998229576364686,NA,NYCO,Administrative Offices
North York Civic Centre,"Administrative offices and related facilities, including municipal council chambers",5100 Yonge Street,North York,M2N 5V7,303518,Square feet,70,0,5708637.5854840009,kWh,421383.23988200002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1028843.0303907967,33.464565661821602,NA,NYCC,Administrative Offices
Old City Hall,"Administrative offices and related facilities, including municipal council chambers",60 Queen St.W.,Toronto,M5H 2M3,350494,Square feet,70,0,2695471.4435159997,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273619.2401268042,30.241743342998365,NA,OCH,Administrative Offices
Pape Avenue Multiuse Building,"Administrative offices and related facilities, including municipal council chambers",126 Pape Ave,Toronto,M4M 2V8,9365,Square feet,70,0,85638.054838999989,kWh,23231.588544000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47558.338634711363,35.332454590910444,NA,PAMB,Administrative Offices
Property Dept Workshop,"Administrative offices and related facilities, including municipal council chambers",786 Dundas St E,Toronto,M4M 1R1,39170,Square feet,70,0,119614.56185,kWh,106591.62402,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207275.62470855381,31.781362585397911,NA,PDWS,Administrative Offices
Property Maintenance Office,"Administrative offices and related facilities, including municipal council chambers",149 River St,Toronto,M5A 3P8,13487,Square feet,70,0,127005.60224099999,kWh,27474.865227000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57273.950812719631,30.922470496707177,NA,PMO,Administrative Offices
Public Health Building,"Administrative offices and related facilities, including municipal council chambers",175 Memorial Park Ave,Toronto,M4J 4Y6,6394,Square feet,70,0,72104.034249999997,kWh,10646.245097000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23108.726718319929,28.854247915629056,NA,MPA175,Administrative Offices
Public Health HQ,"Administrative offices and related facilities, including municipal council chambers",277 Victoria St,Toronto,M5B 1W2,111385,Square feet,70,0,1889680.717165,kWh,31349.151515000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135140.89832813037,19.936559527421103,NA,CHRO,Administrative Offices
Queen Street Office,"Administrative offices and related facilities, including municipal council chambers",1631 Queen St. E.,Toronto,M4L 1G4,25327,Square feet,70,0,312114.85057300003,kWh,37404.054284999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83540.701907591661,27.914136131516837,NA,QSO,Administrative Offices
Rexdale Community Hub,"Administrative offices and related facilities, including municipal council chambers",21 Panorama Crt,Etobicoke,M9V 4E3,96369,Square feet,70,0,1123136.117935,kWh,95125.03160599999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225633.51600900214,22.075063386763563,NA,21PAN,Administrative Offices
Scarborough Civic Centre,"Administrative offices and related facilities, including municipal council chambers",150 Borough Dr,Scarborough,M1P 4N7,372868,Square feet,70,0,6230563.6533220001,kWh,234291.112903,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694303.03040358005,23.343225614273173,NA,SCCC,Administrative Offices
Scarborough West Office,"Administrative offices and related facilities, including municipal council chambers",1225 Kennedy Rd,Scarborough,M1P 4Y1,19999,Square feet,70,0,476648.435573,kWh,39833.878664000003,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94737.95838213418,44.860575027727428,NA,SWO,Administrative Offices
St Lawrence Hall,"Administrative offices and related facilities, including municipal council chambers",157 King St East,Toronto,M5C 1G9,55413,Square feet,70,0,987151.37864600006,kWh,43817.687271999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122726.07747958567,26.16223221352919,NA,SLH,Administrative Offices
Toronto Island Service Office,"Administrative offices and related facilities, including municipal council chambers",1 Lake Shore Ave,Toronto,M5J 2W2,20968,Square feet,70,0,100143.033517,kWh,9136.8056469999992,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21362.81966022943,9.3761162435385721,NA,TISO,Administrative Offices
Toronto Water Centre,"Administrative offices and related facilities, including municipal council chambers",60 Tiffield Rd,Scarborough,M1V 5N2,64831,Square feet,70,0,3126117.365032,kWh,143803.17451700001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398226.14719947975,71.63585728312249,NA,60TIFF,Administrative Offices
Water Revenue Office,"Administrative offices and related facilities, including municipal council chambers",77 Elizabeth St,Toronto,M5G 1P4,14768,Square feet,70,0,180400.162163,kWh,18998.215903,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43306.727255290069,25.796336085251689,NA,WRO,Administrative Offices
Wellesley Jarvis Office,"Administrative offices and related facilities, including municipal council chambers",111 Wellesley St.E.,Toronto,M4Y 3A7,52108,Square feet,70,0,1259737.9187739999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50389.51675096,24.175619246219288,NA,WJO,Administrative Offices
Western District Office,"Administrative offices and related facilities, including municipal council chambers",61 Edgehill Rd.,Etobicoke,M9A 4N1,4844,Square feet,70,0,28793.696560999997,kWh,14158.581945,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28048.66439753705,36.800660192197768,NA,WDO,Administrative Offices
York Civic Center,"Administrative offices and related facilities, including municipal council chambers",2700 Eglinton Ave W,Toronto,M6M 1V1,72915,Square feet,70,0,1241941.1615480001,kWh,98679.058533999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237137.26716837447,31.319704982079617,NA,YKCC,Administrative Offices
Ambulance Headquarters,Ambulance stations and associated offices and facilities,4330 Dufferin St,North York,M3H 5R9,143494,Square feet,168,0,3586967.4110640003,kWh,266369.11274999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649497.43624260754,44.594017529574387,NA,AHQ,Ambulance Stations
EMS Workshop West,Ambulance stations and associated offices and facilities,866 Richmond St.W.,Toronto,M6J 1C9,1658,Square feet,168,0,14583.570083000001,kWh,6934.1074320000007,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13755.997350816082,52.94647498021596,NA,EMSWW,Ambulance Stations
Multi-Function Station #1,Ambulance stations and associated offices and facilities,1300 Wilson Ave.,North York,M3M 1H5,21781,Square feet,168,0,127576.96877399999,kWh,10569.655429,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25182.147472877012,10.98015192187372,NA,MFS1,Ambulance Stations
NE District Office / Station #20,Ambulance stations and associated offices and facilities,2430 Lawrence Ave E,Scarborough,M1P 2R5,7782,Square feet,168,0,293727.811835,kWh,25612.507928999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60404.937661042015,72.489569160060711,NA,LA2430,Ambulance Stations
NW District Office & Garage,Ambulance stations and associated offices and facilities,50 Toryork Dr,North York,M9L 1X6,13153,Square feet,168,0,155135.672001,kWh,14947.105882000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34600.294453016584,23.791465697555804,NA,50TY,Ambulance Stations
Station #10,Ambulance stations and associated offices and facilities,2015 Lawrence Ave.W.,Toronto,M9N 3V5,5005,Square feet,168,0,61059.502485999998,kWh,9522.6313179999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20532.427587931423,32.285269908261753,NA,AS10,Ambulance Stations
Station #11,Ambulance stations and associated offices and facilities,1135 Caledonia Rd,North York,M6A 2W9,3574,Square feet,168,0,32518.56625,kWh,10804.889214999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21826.682642843349,41.013764467350782,NA,AS11,Ambulance Stations
Station #12,Ambulance stations and associated offices and facilities,1535 Albion Rd.,Etobicoke,M9V 1B2,1938,Square feet,168,0,36345.747557000002,kWh,1565,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4426.8447522799997,27.279261917503693,NA,AS12,Ambulance Stations
Station #13,Ambulance stations and associated offices and facilities,555 Martin Grove Rd,Etobicoke,M9R 4B7,2756,Square feet,168,0,28377.286888000002,kWh,10067.363273000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20259.960811605371,48.859224269213762,NA,AS13,Ambulance Stations
Station #14,Ambulance stations and associated offices and facilities,321 Rexdale Blvd,Etobicoke,M9W 1R8,4252,Square feet,168,0,57917.869565000001,kWh,5729.7515149999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13201.46643813035,27.847049307911838,NA,AS14,Ambulance Stations
Station #18,Ambulance stations and associated offices and facilities,643 Eglinton Ave.W.,Toronto,M5N 1C5,1345,Square feet,168,0,67472.79221,kWh,14709.879232000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30643.122166638084,165.62197866711978,NA,AS18,Ambulance Stations
Station #21,Ambulance stations and associated offices and facilities,887 Pharmacy Ave,Scarborough,M1L 3K9,2799,Square feet,168,0,39517.039882999998,kWh,8744.7161720000004,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18192.93146010668,47.100024786197714,NA,AS21,Ambulance Stations
Station #22,Ambulance stations and associated offices and facilities,3100 Eglinton Ave. E.,Scarborough,M1J 2H1,2583,Square feet,168,0,42799.235403000006,kWh,3545.119318,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8446.597133331421,31.058592704033707,NA,AS22,Ambulance Stations
Station #24,Ambulance stations and associated offices and facilities,3061 Birchmount Rd,Scarborough,M1W 2S4,2659,Square feet,168,0,24869.985809999998,kWh,5452.8754550000003,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11353.57240550895,31.002151716387754,NA,AS24,Ambulance Stations
Station #28,Ambulance stations and associated offices and facilities,2900 Lawrence Ave.E.,Toronto,M1P 2TS,1905,Square feet,168,0,40286.004148,kWh,10379.105294999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21328.522703778552,78.664446681675358,NA,AS28,Ambulance Stations
Station #30 & Garage & Office,Ambulance stations and associated offices and facilities,100 Turnberry Ave,Toronto,M6N 1R1,16380,Square feet,168,0,202466.186778,kWh,49396.337160999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101936.37521250009,44.196075289404618,NA,AS30,Ambulance Stations
Station #31,Ambulance stations and associated offices and facilities,4219 Dundas St.W.,Etobicoke,M8X 1Y3,2831,Square feet,168,0,40930.251701000001,kWh,5044.8266670000003,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11220.816839073232,33.270005652289669,NA,AS31,Ambulance Stations
Station #32,Ambulance stations and associated offices and facilities,9 Clendenan Ave.,Toronto,M6P 2W4,3218,Square feet,168,0,19951.862766999999,kWh,4581.6732259999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9501.8333213799415,21.230427440046281,NA,AS32,Ambulance Stations
Station #33,Ambulance stations and associated offices and facilities,760 Dovercourt Rd,Toronto,M6H 2X2,3132,Square feet,168,0,32766.324838999997,kWh,6476.9735609999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13614.89489765609,32.293179745383995,NA,AS33,Ambulance Stations
Station #34,Ambulance stations and associated offices and facilities,674 Markham St,Toronto,M6G 2L9,13939,Square feet,168,0,63845.014858999995,kWh,56482.411963999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109852.87377825116,47.357476837673907,NA,AS34,Ambulance Stations
Station #37,Ambulance stations and associated offices and facilities,1288 Queen St.W.,Toronto,M6K 1L4,4413,Square feet,168,0,50237.894072000003,kWh,5517.4579940000003,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12490.975539501862,24.582940621805815,NA,AS37,Ambulance Stations
Station #38,Ambulance stations and associated offices and facilities,259 Horner Ave.,Etobicoke,M8Z 4Y3,5102,Square feet,168,0,69599.426213999992,kWh,18773.825264999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38448.425166227855,52.48731051987852,NA,AS38,Ambulance Stations
Station #39,Ambulance stations and associated offices and facilities,155 The East Mall,Etobicoke,M8Z 5Y5,1927,Square feet,168,0,41646.771455000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1665.8708582000002,21.612322253873586,NA,AS39,Ambulance Stations
Station #40,Ambulance stations and associated offices and facilities,58 Richmond St.E.,Toronto,M5C 1N7,12798,Square feet,168,0,164849.34192599999,kWh,17497.990216000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39834.730710473043,27.314572728139545,NA,AS40,Ambulance Stations
Station #41,Ambulance stations and associated offices and facilities,1300 Pape Ave.,Toronto,M4K 3X1,1841,Square feet,168,0,84957.880374,kWh,14369.000670000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30694.962097752305,128.54326629704244,NA,AS41,Ambulance Stations
Station #42,Ambulance stations and associated offices and facilities,1535 Kingston Rd.,Scarborough,M1N 1R5,6997,Square feet,168,0,122124.68152899999,kWh,13681.281935000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30875.181740260152,38.095617535900736,NA,AS42,Ambulance Stations
