Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirm consecutive 12-mth period (mth-yr to mth-yr),Jan/2016 - Dec/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency Sub-sector,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Name,City of Toronto,"Please fill in the mandatory fields indicated in red, in addition to submitting data on your energy usage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit,Avg hrs/wk,Annual Flow (Mega Litres),Energy Type and Amount Purchased and Consumed in Natural Units,,,,,,,,,,,,,,,,,,,,,,Total (calculated in webform),,,,
,,,,,,,,,Electricity,,Natural Gas,,Fuel Oil 1 & 2,,Fuel Oil 4 & 6,,Propane,,Coal,,Wood,,District Heating,,,,District Cooling,,,,"GHG Emissions
(Kg)","Energy Intensity
(ekWh/sqft)","Energy Intensity
(ekWh/Mega Litre)",Building / Operation Identifier,Comments
,,,,,,,,,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",,,,,
Cloud Gardens,Other,14 Temperance St.,Toronto,M5H 1YR,6243,Square feet,168,0,65619.02267,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"47,121",44.0,,14TEMP,Greenhouses
Cloverdale Park,Other,85 Shaver Ave S,Toronto,M9B 4N6,0,Square feet,100,0,4915.406329,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,216,,,85SHAV,Outdoor Recreational Facilities
Clydesdale Park Tennis,Other,116 Clydesdale Dr,Toronto,M2J 3N2,2185,Square feet,100,0,59895.90442,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"2,635",27.4,,CLDP,Outdoor Recreational Facilities
Colborne Lodge,Cultural facilities,1 Colborne Lodge Dr,Toronto,M6R 2Z3,7050,Square feet,100,0,151258.4504,kWh,11302.03499,Cubic meter,,,,,,,,,,,,,,,,,,,"28,016",38.4,,CBL,Cultural Facilities
Coleman Park,Other,19 Coleman Ave,Toronto,M4C 1P8,226,Square feet,100,0,3250.441694,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,143,14.4,,CMP,Outdoor Recreational Facilities
College Park,Other,484 Yonge St,Toronto,M4Y 1X5,0,Square feet,100,0,3655.669379,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,161,,,CLSP,Outdoor Recreational Facilities
College Shaw,Public libraries,766 College St.,Toronto,M6G 1C2,7685,Square feet,70,0,83365.92318,kWh,7885.120347,Cubic meter,,,,,,,,,,,,,,,,,,,"18,571",21.7,,CS,Public Libraries
College Street Park,Other,0 College St Opp T53,Toronto,M5G 2B3,0,Square feet,100,0,1827.834139,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,80,,,CSP,Outdoor Recreational Facilities
Colonel Danforth Park,Other,1 Highland Creek Dr,Toronto,M1C 1P5,2723,Square feet,100,0,7482.762424,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,329,2.7,,CDP,Outdoor Recreational Facilities
Colonel Samuel Smith Park,Other,3175 Lake Shore Blvd W.,Toronto,M8V 1L4,0,Square feet,100,0,50597.83911,kWh,34267.74554,Cubic meter,,,,,,,,,,,,,,,,,,,"66,992",,,CSSP,Outdoor Recreational Facilities
Columbus Parkette,Other,1981 Dundas St W,Toronto,M6R 1W7,226,Square feet,100,0,4604.664637,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,203,20.4,,CLBP,Outdoor Recreational Facilities
Commander Park C.C,Community centres,140 Commander Blvd,Toronto,M1S 3H7,56317,Square feet,100,0,1158516.395,kWh,51058.2399,Cubic meter,,,,,,,,,,,,,,,,,,,"147,475",30.1,,COMMC,Community Centres
Commissioners St Transfer Stn,Other,400 Commissioners St.,Toronto,M4M 3K2,76424,Square feet,70,0,706780.7713,kWh,69776.25888,Cubic meter,,,,,,,,,,,,,,,,,,,"162,975",18.9,,CSTS,Transfer Stations
Community Centre 55,Community centres,97 Main St,Toronto,M4E 2V6,8999,Square feet,100,0,67296.70286,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"2,961",7.5,,COM55C,Community Centres
Connorvale Park,Other,250 Valermo Dr,Toronto,M8W 2K8,0,Square feet,100,0,40245.49161,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,771",,,250VAL,Outdoor Recreational Facilities
Consolidated Communication Ctr,"Administrative offices and related facilities, including municipal council chambers",703 Don Mills Rd,Toronto,M3C 3N3,132999,Square feet,70,0,7745496.193,kWh,237831.9168,Cubic meter,,,,,,,,,,,,,,,,,,,"790,304",77.1,,CCC,Administrative Offices
Coronation Park,Other,663 Lake Shore Blvd. W,Toronto,M5V 3Y7,8105,Square feet,100,0,255282.4096,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"11,232",31.5,,CP,Outdoor Recreational Facilities
Corvette Park,Other,40 Corvette Ave,Toronto,M1K 3G2,0,Square feet,100,0,27.404847,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1,,,40CORV,Outdoor Recreational Facilities
Cosburn Ave Unit Haldo,Other,530 Cosburn Ave,Toronto,M4J 4Y7,0,Square feet,100,0,55499.12586,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"2,442",,,COSBUR,Outdoor Recreational Facilities
Cosburn Park,Other,523 Cosburn Ave,Toronto,M4J 4Y7,0,Square feet,100,0,20588.10396,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,906,,,523COS,Outdoor Recreational Facilities
Craigleigh Gardens,Other,149 South Dr,Toronto,M4W 1S3,0,Square feet,100,0,22109.09402,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,973,,,CLGD,Outdoor Recreational Facilities
Cresthaven Park Tennis,Other,47 Cresthaven Dr,Toronto,M2H 1L9,1916,Square feet,100,0,67072.38352,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"2,951",35.0,,CHP,Outdoor Recreational Facilities
Crossways Employment Services,"Administrative offices and related facilities, including municipal council chambers",2340 Dundas St W,Toronto,M6P 4A9,18277,Square feet,70,0,891013.5967,kWh,42758.1051,Cubic meter,,,,,,,,,,,,,,,,,,,"120,017",73.4,,RWO,Administrative Offices
Cumber Sewage Pumping Station,Facilities related to the pumping of sewage,5316 Lawrence Ave E,Toronto,M1C 1R5,635,Square feet,168,1594.064139,354921.2939,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"15,617",558.9,222.7,CPS,Sewage Pumping Facilities
Cumberland St Parkette,Other,115 Cumberland St,Toronto,M5R 3N7,0,Square feet,100,0,106777.5982,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"4,698",,,CBLP,Outdoor Recreational Facilities
Cummer Arena,Indoor sports arenas,6000 Leslie St,Toronto,M2H 1J9,34348,Square feet,100,0,1466286.705,kWh,190367.9369,Cubic meter,,,,,,,,,,,,,,,,,,,"424,312",101.2,,CUMMA,Indoor Sports Arena
Cummer Lodge,Long-term care,205 Cummer Ave,Toronto,M2M 2E8,243200,Square feet,168,0,4714181.938,kWh,630255.3467,Cubic meter,,,,,,,,,,,,,,,,,,,"1,398,607",46.7,,CLOD,Long Term Care Homes
Curran Hall C.C,Community centres,277 Orton Park Rd,Toronto,M1G 3B9,2508,Square feet,100,0,40895.93099,kWh,4924.954459,Cubic meter,,,,,,,,,,,,,,,,,,,"11,108",37.0,,CURAC,Community Centres
Dallington Park 32 Glentworth,Other,Dallington Park 32 Glentworth,North York,M2J 2E4,0,Square feet,100,0,2389.507351,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,105,,,DALLP,Outdoor Recreational Facilities
Danforth Avenue Parkettle,Other,1549 Danforth Ave,Toronto,M4J 1N4,0,Square feet,100,0,2714.026062,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,119,,,1549DA,Outdoor Recreational Facilities
Danforth Childcare Centre,Other,1125 Danforth Ave,Toronto,M4J 4B3,6351,Square feet,100,0,141072.5351,kWh,8245.943039,Cubic meter,,,,,,,,,,,,,,,,,,,"21,792",35.9,,DCC,Child Care Facilities
Danforth Coxwell,Public libraries,1675 Danforth Ave.,Toronto,M4C 5P2,9612,Square feet,70,0,105139.0449,kWh,8744.895833,Cubic meter,,,,,,,,,,,,,,,,,,,"21,154",20.5,,DA,Public Libraries
Davenport,Public libraries,1246 Shaw St.,Toronto,M6G 3P1,3606,Square feet,100,0,72515.56581,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"3,191",20.1,,DT,Public Libraries
Davenport C.C,Community centres,1347 Davenport Rd,Toronto,M6H 2H5,2282,Square feet,100,0,6816.025903,kWh,5118.678432,Cubic meter,,,,,,,,,,,,,,,,,,,"9,974",26.7,,DAVPC,Community Centres
David A. Balfour Park,Other,75 Rosehill  Ave,Toronto,M4T 2C4,0,Square feet,100,0,16376.01122,kWh,3654.881456,Cubic meter,,,,,,,,,,,,,,,,,,,"7,628",,,DABP,Outdoor Recreational Facilities
David Appleton Community Centre,Community centres,33A Pritchard Ave,Toronto,M9N 1T4,2906,Square feet,100,0,60403.14307,kWh,6970.865068,Cubic meter,,,,,,,,,,,,,,,,,,,"15,833",46.1,,YORCC,Community Centres
David Crombie Park,Other,131 The Esplanade,Toronto,M1P 4N7,0,Square feet,168,0,3075.067809,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,135,,,DCBP,Outdoor Recreational Facilities
Davisville Childcare Centre,Other,41 Millwood Rd,Toronto,M4S 1Z4,3595,Square feet,100,0,25975.98674,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,143",7.2,,DVCC,Child Care Facilities
Davisville Park/Tennis,Indoor recreational facilities,218 Davisville Ave,Toronto,M5J 3J5,2777,Square feet,100,0,39891.76689,kWh,6022.105151,Cubic meter,,,,,,,,,,,,,,,,,,,"13,137",37.3,,DVVP,Indoor Recreational Facilities
Dawes Crossing,Cultural facilities,1052 Victoria Park,Toronto,M4B 2K1,0,Square feet,168,0,889.804885,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,39,,,DAWES,Cultural Facilities
Dawes Road,Public libraries,416 Dawes Rd,Toronto,M4B 2EB,6501,Square feet,70,0,137346.8245,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"6,043",21.1,,DR,Public Libraries
De Grassi St Park,Other,121 De Grassi St,Toronto,M4M 2K7,0,Square feet,100,0,1370.873771,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,60,,,DGSP,Outdoor Recreational Facilities
Dee Avenue Lab,Other,30 Dee Ave.,Toronto,M9N 1S9,14994,Square feet,70,0,1205959.222,kWh,55832.63226,Cubic meter,,,,,,,,,,,0,0,  ,,,,,  ,"158,586",119.7,,DAL,Laboratory
Deer Park,Public libraries,40 St. Clair Ave. E.,Toronto,M4T 1M9,16576,Square feet,70,0,363402.9034,kWh,27526.70926,Cubic meter,,,,,,,,,,,,,,,,,,,"68,015",39.5,,DP,Public Libraries
Dell Park,Other,50 Dell Park Ave,Toronto,M6B 2T6,0,Square feet,100,0,2798.04107,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,123,,,DELL,Outdoor Recreational Facilities
Dentonia Park Ave Unit F,Other,80 Thyra Ave,Toronto,M4C 5G5,0,Square feet,100,0,5854.223061,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,258,,,DENTON,Outdoor Recreational Facilities
Dentonia Park Clubhouse,Other,80 Thyra Ave,Toronto,M4C 5G5,3165,Square feet,100,0,16693.60949,kWh,2340.966552,Cubic meter,,,,,,,,,,,,,,,,,,,"5,159",13.1,,DTPC,Outdoor Recreational Facilities
Dentonia Park Golf Course,Other,781 Victoria Park Ave.,Toronto,M4B 2J1,9214,Square feet,100,0,72650.34185,kWh,33049.74606,Cubic meter,,,,,,,,,,,,,,,,,,,"65,661",45.8,,DPGC,Outdoor Recreational Facilities
Derrydowns Park,Other,1705 Finch Ave.W.,Toronto,M3J 1S5,743,Square feet,100,0,6930.578493,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,305,9.3,,DDP,Outdoor Recreational Facilities
Detective Services Building,Police stations and associated offices and facilities,160-180 Duncan Mill Rd,Toronto,M3B 1Z3,24000,Square feet,168,0,404309.8378,kWh,16926.02411,Cubic meter,,,,,,,,,,,,,,,,,,,"49,780",24.3,,DCM160,Police Stations
Dieppe Park Baseball Clubhouse,Other,455 Cosburn Ave,Toronto,M4J 2N2,2508,Square feet,100,0,4731.456,kWh,4427.747,Cubic meter,,,,,,,,,,,,,,,,,,,"8,577",20.5,,DPBC,Outdoor Recreational Facilities
Dieppe Park Ice Rink,Other,355 Cosburn Ave,Toronto,M4J 2N2,3498,Square feet,100,0,473995.3431,kWh,10663.63099,Cubic meter,,,,,,,,,,,,,,,,,,,"41,010",167.7,,DIEPR,Outdoor Recreational Facilities
Disco Road Transfer Station,Other,120 Disco Rd,Toronto,M9W 1M4,57049,Square feet,70,0,7738345.691,kWh,16756.29446,Cubic meter,,,,,,,,,,,,,,,,,,,"372,157",138.7,,DRTS,Transfer Stations
Disco Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",150 Disco Rd,Toronto,M9W 1M4,131976,Square feet,70,0,890838.3338,kWh,167216.2893,Cubic meter,,,,,,,,,,,,,,,,,,,"355,236",20.1,,DISCO,Storage Facilities
Dixon Rink,Other,350 Dixon Rd,Toronto,M4E 2W2,0,Square feet,100,0,8544.595305,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,376,,,DIXOR,Outdoor Recreational Facilities
Don MilIs Arena,Indoor sports arenas,1030 Don Mills Rd,Toronto,M3C 1W6,27857,Square feet,100,0,502621.8067,kWh,77581.90979,Cubic meter,,,,,,,,,,,,,,,,,,,"168,745",47.4,,DONMA,Indoor Sports Arena
Don Mills,Public libraries,888 Lawrence Ave E,Toronto,M3C 3L2,21560,Square feet,70,0,395780.7128,kWh,32251.2752,Cubic meter,,,,,,,,,,,,,,,,,,,"78,369",34.1,,DM,Public Libraries
Don Montgomery,Community centres,2467 Eglinton Ave E,Toronto,M1K 2R1,89125,Square feet,100,0,1867764.735,kWh,130336.3072,Cubic meter,,,,,,,,,,,,,,,,,,,"328,517",36.4,,MIDSC,Community Centres
Don Valley Brickwork,Cultural facilities,550 Bayview Ave,Toronto,M4W 3X8,19407,Square feet,100,0,185586.2855,kWh,20232.60613,Cubic meter,,,,,,,,,,,,,,,,,,,"46,405",20.6,,DVBW,Cultural Facilities
Don Valley Gc Service Bldg,Other,4070 Yonge St,Toronto,M2P 1N9,3574,Square feet,100,0,34371.20164,kWh,10327.80964,Cubic meter,,,,,,,,,,,,,,,,,,,"21,032",40.1,,DVSB,Outdoor Recreational Facilities
Don Valley Golf Course,Other,4200 Yonge St.,Toronto,M2P 1N9,8245,Square feet,100,0,93612.08496,kWh,22884.33515,Cubic meter,,,,,,,,,,,,,,,,,,,"47,370",40.7,,DVGC,Outdoor Recreational Facilities
Don Valley Parks,Other,Don Mills/Don Valley Parkway,Toronto,M4J 4Y7,2906,Square feet,100,0,913.914612,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,40,0.3,,DVP,Outdoor Recreational Facilities
Don Valley Parkway,Street lighting,21 Don Valley Parkway,Toronto,M4M 3P2,0,Square feet,70,0,2774997.086,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"122,100",,,DVPW,Streetlighting
Donald Summerville Olympic Pool,Other,1867 Lake Shore Blvd E,Toronto,M1P 4N7,27050,Square feet,100,0,386281.5883,kWh,59346.63636,Cubic meter,,,,,,,,,,,,,,,,,,,"129,162",37.4,,WBPP,Outdoor Recreational Facilities
Donlands Landfill,Other,485 Donlands Ave,Toronto,L3T 4K6,603,Square feet,70,0,40602.26694,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,786",67.3,,DL,Landfill Operations
Douglas Snow Aquatic Center,Indoor swimming pools,5100 Yonge St,Toronto,M2N 5V7,40666,Square feet,100,0,853155.7845,kWh,207745.8958,Cubic meter,,,,,,,,,,,,,,,,,,,"430,179",74.9,,DSAC,Indoor Swimming Pool
Dovercourt B&G Club,Indoor recreational facilities,155 Bartlett Ave,Toronto,M6H 3G1,23971,Square feet,100,0,219986.1503,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"9,679",9.2,,DOVCC,Indoor Recreational Facilities
Downsview,Public libraries,2793 Keele St,Toronto,M3M 2G3,20021,Square feet,70,0,295248.4775,kWh,16114.154,Cubic meter,,,,,,,,,,,,,,,,,,,"43,447",23.2,,DO,Public Libraries
Downsview Arena,Indoor sports arenas,1633 Wilson Ave,Toronto,M3L 1A5,34218,Square feet,100,0,732214.9858,kWh,71010.45,Cubic meter,,,,,,,,,,,,,,,,,,,"166,427",43.3,,DOWNA,Indoor Sports Arena
Downsview Dell,Social housing,1651 Sheppard Ave W,Toronto,M3M 2X4,5199,Square feet,168,0,129474.9863,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"5,697",24.9,,DVD,Shelters & Housing
Downsview Dells,Other,1701 Sheppard Ave.W.,Toronto,M3L 1S1,1270,Square feet,100,0,17312.89876,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,762,13.6,,DVDP,Outdoor Recreational Facilities
Driftwood C.C,Community centres,4401 Jane St.,Toronto,M3N 2K3,25015,Square feet,100,0,327160.0711,kWh,39378.57261,Cubic meter,,,,,,,,,,,,,,,,,,,"88,821",29.7,,DRIFC,Community Centres
Dufferin Grove Park,Other,875 Dufferin St,Toronto,M6H 4J3,4682,Square feet,100,0,392502.2528,kWh,18760.38941,Cubic meter,,,,,,,,,,,,,,,,,,,"52,727",126.1,,DFGP,Outdoor Recreational Facilities
Dufferin King Park,Other,256 Dufferin St,Toronto,M6K 1Z3,0,Square feet,100,0,6880.664839,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,303,,,DUFKING,Outdoor Recreational Facilities
Dufferin Maintenance Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",75 Vanley Cres.,Toronto,M3J 2B7,31667,Square feet,70,0,320034.5374,kWh,28306.1723,Cubic meter,,,,,,,,,,,,,,,,,,,"67,580",19.5,,DMY,Storage Facilities
Dufferin Reservoir,Other,Dufferin Reservoir,Maple,L6A 1S2,635,Square feet,168,0,114646.1749,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"5,044",180.5,,DUFFR,Water Misc Service
Dufferin St Clair,Public libraries,1625 Dufferin St.,Toronto,M6H 3L9,11208,Square feet,70,0,130917.4153,kWh,13868.63188,Cubic meter,,,,,,,,,,,,,,,,,,,"31,972",24.7,,DU,Public Libraries
Dufferin Transfer Station,Other,35 Vanley Cres,Toronto,M3J 2B7,120663,Square feet,70,0,1933226.425,kWh,75367.60155,Cubic meter,,,,,,,,,,,,,,,,,,,"227,507",22.6,,DTS,Transfer Stations
Duncan Creek,Other,115 Aspenwood Dr,Toronto,M2H 2G2,0,Square feet,100,0,10554.6271,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,464,,,DCRE,Outdoor Recreational Facilities
Dundas St Clarens Parkette,Other,110 St Clarens Av Rr,Toronto,M6K 2S5,0,Square feet,100,0,911.209268,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,40,,,DSCP,Outdoor Recreational Facilities
Dundas St Parkette,Other,158 Boulton Ave,Toronto,M4M 2J4,0,Square feet,100,0,2741.750637,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,121,,,DDSP,Outdoor Recreational Facilities
Dunlace Park Tennis,Other,26 Dunlace Dr,Toronto,M2L 2S1,646,Square feet,100,0,18037.89399,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,794,27.9,,DLP,Outdoor Recreational Facilities
Dunn Avenue Parkette,Other,245 Dunn Ave,Toronto,M6K 2S1,0,Square feet,168,0,1824.301665,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,80,,,DNAP,Outdoor Recreational Facilities
E.T. Seton Park,Other,90 Overlea Blvd,Toronto,M4H 1G8,0,Square feet,100,0,10172.93631,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,448,,,ETSP,Outdoor Recreational Facilities
Earl Bales C.C & Senior,Community centres,4169 Bathurst St,Toronto,M3H 3P7,21657,Square feet,100,0,357742.9325,kWh,41558.16749,Cubic meter,,,,,,,,,,,,,,,,,,,"94,286",36.8,,EARLC,Community Centres
Earl Bales Park,Community centres,4175 Bathurst St.,Toronto,M3H 3P7,10409,Square feet,100,0,267830.1773,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"11,785",25.7,,EBP,Community Centres
Earl Bales Ski Tow,Other,4169 Bathurst St,Toronto,M3H 3P7,0,Square feet,100,0,463255.3947,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"20,383",,,EBST,Outdoor Recreational Facilities
Earls Bales Park Flame,Other,4169 Bathurst St /Flame,Toronto,M3H 3P8,0,Square feet,100,0,0,0,15094,Cubic meter,,,,,,,,,,,,,,,,,,,"28,528",,,EBPF,Outdoor Recreational Facilities
Earlscourt Park,Other,1200 Landsdowne Ave,Toronto,M6H 3Z8,9515,Square feet,100,0,201461.9817,kWh,423.516129,Cubic meter,,,,,,,,,,,,,,,,,,,"9,665",21.6,,ECP,Outdoor Recreational Facilities
East Court & Municipal Services,"Administrative offices and related facilities, including municipal council chambers",1530 Markham Rd,Toronto,M1B 3G4,120104,Square feet,70,0,2016509.38,kWh,109961.925,Cubic meter,,,,,,,,,,,,,,,,,,,"296,554",26.5,,MR1530,Administrative Offices
East Don Parkland,Other,1238 Sheppard Ave.E.,Toronto,M2J 1V1,1141,Square feet,100,0,23344.64165,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,027",20.5,,EDPL,Outdoor Recreational Facilities
East Lynn Park,Other,95 West Lynn Ave,Toronto,M4C 3W2,0,Square feet,100,0,4318.299771,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,190,,,ELP,Outdoor Recreational Facilities
East Point Park,Other,101 Copperfield Rd,Toronto,M1E 3Z3,6523,Square feet,100,0,162265.1654,kWh,7033.575842,Cubic meter,,,,,,,,,,,,,,,,,,,"20,433",36.3,,EPP,Outdoor Recreational Facilities
East Scar Boys/Girls Club,Community centres,100 Galloway Rd,Toronto,M1E 1W7,13972,Square feet,100,0,329129.3948,kWh,36270.98872,Cubic meter,,,,,,,,,,,,,,,,,,,"83,034",51.0,,EASSC,Community Centres
East Service Building,Public libraries,1076 Ellesmere Rd,Toronto,M1P 2X7,60040,Square feet,70,0,560583.0992,kWh,68024.10996,Cubic meter,,,,,,,,,,,,,,,,,,,"153,231",21.3,,EASTSB,Public Libraries
East Toronto Athletic Fieldhouse,Other,177 Main St,Toronto,M1P 4N7,538,Square feet,100,0,10446.00273,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,460,19.4,,ETAF,Outdoor Recreational Facilities
East York Arena,Indoor sports arenas,888 Cosburn Ave,Toronto,M4C 2W6,30257,Square feet,100,0,825053.8832,kWh,70126.76305,Cubic meter,,,,,,,,,,,,,,,,,,,"168,842",51.7,,EASTA,Indoor Sports Arena
East York Civic Centre,"Administrative offices and related facilities, including municipal council chambers",850 Coxwell Ave,Toronto,M4C 5R1,67544,Square feet,70,0,1626772.647,kWh,91637.11144,Cubic meter,,,,,,,,,,,,,,,,,,,"244,772",38.4,,EYCC,Administrative Offices
East York Clubhouse,Indoor recreational facilities,323-525 Cosburn Ave,Toronto,M4J 4Y7,1001,Square feet,100,0,14025.47463,kWh,2436.332661,Cubic meter,,,,,,,,,,,,,,,,,,,"5,222",39.7,,EYCH,Indoor Recreational Facilities
East York Community Centre,Community centres,1081A Pape Ave,Toronto,M4K 3W4,31000,Square feet,100,0,474514.106,kWh,127976.4806,Cubic meter,,,,,,,,,,,,,,,,,,,"262,754",58.9,,EASYC,Community Centres
East York Curling Club House,Indoor recreational facilities,901 Cosburn Ave,Toronto,M4C 2W7,17868,Square feet,100,0,373908.5297,kWh,43770.33563,Cubic meter,,,,,,,,,,,,,,,,,,,"99,178",46.8,,EASCH,Indoor Recreational Facilities
Eastern & Booth Blocks,"Storage facilities where equipment or vehicles are maintained, repaired or stored",433 Eastern Ave,Toronto,M4M 1B7,236645,Square feet,70,0,2996248.349,kWh,440694.8,Cubic meter,,,,,,,,,,,,,,,,,,,"964,748",32.3,,EBB,Storage Facilities
Eastern Ave Yard / Office,"Storage facilities where equipment or vehicles are maintained, repaired or stored",843 Eastern Ave,Toronto,M4L 1A2,84701,Square feet,70,0,1099943.7,kWh,414314.5077,Cubic meter,,,,,,,,,,,,,,,,,,,"831,452",64.6,,EAYO,Storage Facilities
Eastern Ave Yard / Shop,"Storage facilities where equipment or vehicles are maintained, repaired or stored",875 Eastern Ave,Toronto,M4L 1A2,9698,Square feet,70,0,98311.36206,kWh,15659.86912,Cubic meter,,,,,,,,,,,,,,,,,,,"33,923",27.2,,EAYS,Storage Facilities
Eastern District Office,"Administrative offices and related facilities, including municipal council chambers",1 Eastville Ave.,Toronto,M1M 2N5,19849,Square feet,70,0,100087.8062,kWh,31975.05005,Cubic meter,,,,,,,,,,,,,,,,,,,"64,837",22.0,,EDO,Administrative Offices
Eastview Neighbourhood Comm Ctr,Community centres,86 Blake St,Toronto,M4J 3C9,25510,Square feet,100,0,357995.8038,kWh,38051.6738,Cubic meter,,,,,,,,,,,,,,,,,,,"87,669",29.8,,EASVC,Community Centres
Eatonville,Public libraries,430 Burnhamthorpe Rd,Toronto,M9B 2B1,12217,Square feet,70,0,189568.2256,kWh,15035.06688,Cubic meter,,,,,,,,,,,,,,,,,,,"36,757",28.5,,EA,Public Libraries
Economic Development,Other,City Hall,Toronto,M5H 2N2,0,Square feet,168,0,494358.4594,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"21,752",,,ECONOM,EDC - Others
Edenbridge Centre,Cultural facilities,235A Edenbridge Dr,Toronto,M9A 3G9,5013,Square feet,100,0,11546.4128,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,508,2.3,,235AED,Cultural Facilities
Edenbridge Sewage Blower,Other,261 Edenbridge Dr,Toronto,M9A 4S4,0,Square feet,168,0,11636.3144,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,512,,,261EDE,Water Misc Service
Edithvale C.C,Community centres,7 Edithvale Dr,Toronto,M2N 2R4,24725,Square feet,100,0,755563.6939,kWh,36429.91177,Cubic meter,,,,,,,,,,,,,,,,,,,"102,097",46.1,,EDITC,Community Centres
Edwards Gardens,Cultural facilities,755 Lawrence Ave.E.,Toronto,M3C 1P2,10021,Square feet,100,0,72879.65352,kWh,42421.12246,Cubic meter,,,,,,,,,,,,,,,,,,,"83,383",52.0,,EDGRD,Cultural Facilities
Eglinton Ave E,Other,660 Eglinton Ave E,East York,M4G 2K2,0,Square feet,100,0,28046.5355,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,234",,,EGLIPK,Outdoor Recreational Facilities
Eglinton Ave W,Parking garages,Eglinton Ave W,Toronto,M6C 3H1,0,Square feet,168,0,2016.942277,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,89,,,EGLIPA,Parking Lots and Garages
